runs_id,service_id,block_id,run_number,piece_number,start_trip_id,start_stop_id,end_trip_id,end_stop_id
100001,c_15398_b_16245_d_31,14133,1,1,t_308062_b_16245_tn_1,822166,t_308061_b_16245_tn_4,822166
100002,c_15398_b_16245_d_31,14141,2,1,t_308081_b_16245_tn_0,822166,t_308073_b_16245_tn_0,822166
100003,c_15398_b_16245_d_31,14142,3,1,t_308083_b_16245_tn_1,822166,t_308076_b_16245_tn_0,822166
100004,c_15398_b_16245_d_31,4236,4,1,t_308075_b_16245_tn_0,822166,t_308079_b_16245_tn_0,822166
100005,c_15398_b_16245_d_31,4315,5,1,t_308080_b_16245_tn_0,822166,t_308072_b_16245_tn_0,822166
100006,c_15398_b_16245_d_31,4402,6,1,t_308100_b_16245_tn_0,822166,t_308108_b_16245_tn_0,822166
100007,c_15398_b_16245_d_31,4403,7,1,t_308101_b_16245_tn_0,822166,t_308089_b_16245_tn_0,822166
100008,c_15398_b_16245_d_31,4409,8,1,t_308063_b_16245_tn_1,822166,t_308064_b_16245_tn_3,822166
100009,c_15398_b_16245_d_32,14229,9,1,t_308059_b_16245_tn_1,822166,t_308058_b_16245_tn_3,822166
100010,c_15398_b_16245_d_32,14230,10,1,t_308109_b_16245_tn_1,822166,t_308096_b_16245_tn_3,822166
100011,c_15398_b_16245_d_32,14231,11,1,t_308090_b_16245_tn_1,822166,t_308097_b_16245_tn_0,822166
100012,c_15398_b_16245_d_32,4408,12,1,t_308057_b_16245_tn_1,822166,t_308060_b_16245_tn_3,822166
100013,c_15609_b_16718_d_31,100395,13,1,t_543185_b_16718_tn_0,822166,t_543888_b_16718_tn_0,822166
100014,c_15609_b_16718_d_31,14109,14,1,t_783241_b_16718_tn_1,822166,t_783246_b_16718_tn_9,822166
100015,c_15609_b_16718_d_31,14110,15,1,t_405251_b_16718_tn_0,822166,t_405301_b_16718_tn_0,821914
100016,c_15609_b_16718_d_31,14111,16,1,t_405699_b_16718_tn_1,822166,t_405243_b_16718_tn_0,821786
100017,c_15609_b_16718_d_31,14112,17,1,t_405419_b_16718_tn_0,822166,t_405302_b_16718_tn_0,822166
100018,c_15609_b_16718_d_31,14113,18,1,t_405615_b_16718_tn_0,822166,t_405303_b_16718_tn_0,822166
100019,c_15609_b_16718_d_31,14115,19,1,t_783365_b_16718_tn_1,822166,t_783379_b_16718_tn_0,822166
100020,c_15609_b_16718_d_31,14116,20,1,t_783407_b_16718_tn_0,822166,t_783375_b_16718_tn_0,822166
100021,c_15609_b_16718_d_31,14117,21,1,t_783359_b_16718_tn_0,822166,t_783386_b_16718_tn_0,822166
100022,c_15609_b_16718_d_31,14118,22,1,t_783361_b_16718_tn_1,822166,t_783403_b_16718_tn_0,822166
100023,c_15609_b_16718_d_31,14119,23,1,t_405621_b_16718_tn_1,822166,t_405205_b_16718_tn_6,822166
